week_ending,btc_usd,power_law_trend,power_law_support,btc_vs_power_law_pct,gold_usd_oz,btc_gold_ratio,btc_gold_52w_zscore_pct
2023-11-12,37053.34105143,52200.84537655,19203.61782580,-34.27401652,1964.30004883,18.86338142,241.01615860
2023-11-19,37442.72851198,52582.24850206,19343.92819448,-33.95660560,1992.80004883,18.78900421,225.14975573
2023-11-26,37482.70552601,52965.94185154,19485.08108946,-34.57694598,2047.09997559,18.31014898,195.82250263
2023-12-03,39978.22261046,53351.93620363,19627.08047600,-28.85753984,2047.90002441,19.52156948,233.60758907
2023-12-10,43732.71209001,53740.24237373,19769.93033287,-20.60657308,1997.30004883,21.89591500,302.75671561
2023-12-17,41428.66578551,54130.87121411,19913.63465237,-26.74316040,2047.69995117,20.23180484,226.09182771
2023-12-24,43097.80932583,54523.83361395,20058.19744042,-23.51657520,2093.10009766,20.59041962,228.19503343
2023-12-31,42217.15879135,54919.14049942,20203.62271654,-26.30351859,2042.80004883,20.66631965,221.76018629
2024-01-07,43844.19594974,55316.80283381,20349.91451389,-23.24343625,2027.80004883,21.62155779,245.25086691
2024-01-14,41888.15130684,55716.83161753,20497.07687930,-28.52792828,2006.50000000,20.87622791,206.15025739
2024-01-21,41537.11235622,56119.23788825,20645.11387330,-30.08913738,2016.00000000,20.60372637,186.43144017
2024-01-28,41983.02027440,56524.03272096,20794.02957014,-29.74006482,2048.39990234,20.49551956,173.75695792
2024-02-04,42576.29130508,56931.22722803,20943.82805785,-29.05464433,2051.69995117,20.75171434,174.13147499
2024-02-11,48200.79860579,57340.83255932,21094.51343823,-17.36373905,2004.30004883,24.04869402,265.27591156
2024-02-18,52148.06453653,57752.85990221,21246.08982688,-10.20858029,2034.30004883,25.63440165,285.91668629
2024-02-25,51746.47896698,58167.32048176,21398.56135327,-11.69673027,2042.69995117,25.33239350,254.48429111
2024-03-03,62991.44229135,58584.22556070,21551.93216073,7.25334086,2158.19995117,29.18702795,321.91936436
2024-03-10,68882.25133957,59003.58643956,21706.20640650,15.48003154,2180.80004883,31.58577118,336.39989896
2024-03-17,68285.08916920,59425.41445674,21861.38826173,13.89694413,2161.00000000,31.59883812,299.79484452
2024-03-24,67289.56583109,59849.72098859,22017.48191155,11.71684148,2190.60009766,30.71741205,257.12796843
2024-03-31,71227.45179398,60276.51744946,22174.49155507,16.69357038,2315.00000000,30.76779775,238.65003537
2024-04-07,69392.68301081,60705.81529184,22332.42140542,13.37419325,2348.39990234,29.54892092,202.56354427
2024-04-14,65648.80996026,61137.62600637,22491.27568977,7.11919867,2388.39990234,27.48652347,157.25904884
2024-04-21,64968.19261981,61571.96112197,22651.05864938,5.36912155,2338.39990234,27.78318309,155.13732422
2024-04-28,62978.57700497,62008.83220590,22811.77453960,1.55177912,2311.00000000,27.25165600,139.61540524
2024-05-05,64067.59599182,62448.25086383,22973.42762992,2.56004858,2322.30004883,27.58799235,139.30306265
2024-05-12,61431.27468790,62890.22873993,23136.02220399,-2.34717405,2394.89990234,25.65087360,102.14545355
2024-05-19,66259.47042607,63334.77751696,23299.56255966,4.51438183,2392.89990234,27.69003014,131.52941571
2024-05-26,68445.00695324,63781.90891634,23464.05300899,7.05610138,2341.19995117,29.23501127,150.82464035
2024-06-02,67805.48557423,64231.63469821,23629.49787831,5.41472582,2375.50000000,28.54366894,133.63088701
2024-06-09,69644.01908942,64683.96666154,23795.90150820,7.38834653,2354.80004883,29.57534298,144.68455583
2024-06-16,66622.59993366,65138.91664419,23963.26825358,2.25216898,2346.89990234,28.38749103,120.30503866
2024-06-23,63345.02187610,65596.49652299,24131.60248368,-3.49259655,2313.19995117,27.38415321,99.78792181
2024-06-30,62763.27968615,66056.71821386,24300.90858213,-5.11435558,2369.39990234,26.48910369,81.75225430
2024-07-07,56112.57255874,66519.59367181,24471.19094694,-17.01366487,2379.69995117,23.57968387,31.30761707
2024-07-14,61015.03394126,66985.13489111,24642.45399053,-9.33504356,2459.89990234,24.80386860,49.13082090
2024-07-21,68056.62012157,67453.35390527,24814.70213981,0.89037018,2415.69995117,28.17262967,101.92086090
2024-07-28,68170.66913092,67924.26278724,24987.93983615,0.36210990,2426.50000000,28.09423826,96.85773241
2024-08-04,58306.26447867,68397.87364938,25162.17153545,-15.96321971,2432.39990234,23.97067375,24.22944113
2024-08-11,58836.10437230,68874.19864361,25337.40170814,-15.75259461,2479.69995117,23.72710632,17.46900974
2024-08-18,58793.20614582,69353.24996144,25513.63483924,-16.51867024,2547.50000000,23.07878553,2.93320108
2024-08-25,64498.01834132,69835.03983411,25690.87542836,-7.95013872,2537.80004883,25.41493305,41.96814939
2024-09-01,57349.08071800,70319.58053261,25869.12798975,-20.38934741,2526.00000000,22.70351572,-12.00535510
2024-09-08,54859.25840824,70806.88436781,26048.39705232,-25.51852653,2542.39990234,21.57774564,-37.92765366
2024-09-15,59129.91975365,71296.96369049,26228.68715968,-18.71166888,2598.60009766,22.75452841,-18.84618858
2024-09-22,63571.95217300,71789.83089146,26410.00287014,-12.15704655,2684.69995117,23.67935089,-3.77438186
2024-09-29,65617.76106897,72285.49840165,26592.34875680,-9.67771264,2669.69995117,24.57870258,12.14433923
2024-10-06,62789.88145558,72783.97869214,26775.72940750,-14.77019209,2626.00000000,23.91084595,-6.95586920
2024-10-13,62759.43111338,73285.28427428,26960.14942491,-15.50509651,2691.30004883,23.31937353,-26.57283845
2024-10-20,69012.35320894,73789.42769976,27145.61342655,-6.69299447,2729.39990234,25.28480826,18.17749060
2024-10-27,68000.14750088,74296.42156069,27332.12604478,-8.85529142,2800.80004883,24.27882973,-12.02826503
2024-11-03,68742.75462274,74806.27848969,27519.69192690,-8.45304748,2676.30004883,25.68574277,22.84129080
2024-11-10,80409.28656663,75319.01115996,27708.31573511,6.53970989,2586.50000000,31.08806749,167.83823131
2024-11-17,89732.97042928,75834.63228536,27898.00214658,16.82831862,2651.69995117,33.83979035,231.38992840
2024-11-24,97980.20828200,76353.15462050,28088.75585347,24.93961533,2639.89990234,37.11512251,294.61648705
2024-12-01,97469.60445295,76874.59096082,28280.58156295,23.73651749,2676.19995117,36.42089763,256.90218470
2024-12-08,100798.98356429,77398.95414265,28473.48399725,26.41550038,2756.69995117,36.56509063,241.15840938
2024-12-15,104551.36714115,77926.25704333,28667.46789368,29.39155452,2653.30004883,39.40427589,281.21933951
2024-12-22,95149.10582525,78456.51258126,28862.53800465,19.29007047,2635.50000000,36.10286694,197.12982941
2024-12-29,93457.57832028,78989.73371599,29058.69909772,16.81897345,2641.00000000,35.38719361,173.45698164
2025-01-05,98414.81209643,79525.93344832,29255.95595560,21.31081468,2672.39990234,36.82637917,193.54598536
2025-01-12,94353.77525862,80065.12482034,29454.31337623,16.42109206,2717.80004883,34.71696724,143.57831911
2025-01-19,100954.57228200,80607.32091555,29653.77617274,22.50811607,2770.89990234,36.43385753,172.07874549
2025-01-26,102833.36927323,81152.53485894,29854.34917355,23.67793740,2769.80004883,37.12664000,178.68100139
2025-02-02,97424.78090006,81700.77981702,30056.03722236,17.60170556,2893.00000000,33.67603903,103.64937560
2025-02-09,96309.75324050,82252.06899800,30258.84517818,15.77810491,2928.69995117,32.88481403,83.67046763
2025-02-16,96182.26617066,82806.41565176,30462.77791538,14.97394552,2936.10009766,32.75851060,78.01867073
2025-02-23,96091.63297750,83363.83307001,30667.84032370,14.20876873,2930.60009766,32.78906360,75.67350958
2025-03-02,94328.00944448,83924.33458634,30874.03730831,11.68625562,2926.00000000,32.23787062,62.58541331
2025-03-09,80647.79641087,84487.93357633,31081.37378979,-4.65172449,2946.80004883,27.36792286,-37.93572177
2025-03-16,82492.10282876,85054.64345758,31289.85470421,-3.05913487,3041.19995117,27.12485340,-41.27000391
2025-03-23,85760.88145061,85624.47768983,31499.48500313,0.15917788,3022.50000000,28.37415433,-14.07413773
2025-03-30,82216.46667650,86197.44977507,31710.26965366,-4.72849857,3166.19995117,25.96692184,-62.62240712
2025-04-06,77949.08849269,86773.57325754,31922.21363843,-10.72462178,3079.39990234,25.31307754,-74.24246583
2025-04-13,83568.95443600,87352.86172389,32135.32195571,-4.42837049,3346.39990234,24.97279371,-79.89830694
2025-04-20,85101.74615459,87935.32880322,32349.59961936,-3.27540901,3294.10009766,25.83459629,-61.03044987
2025-04-27,93812.87653478,88520.98816719,32565.05165889,5.80624448,3319.10009766,28.26455177,-11.15175483
2025-05-04,94377.78991964,89109.85353007,32781.68311951,5.74358513,3391.89990234,27.82446199,-20.36649680
